Product_ID,Product_Title,Product_Type,Product_Published_At,Product_Variant_Id,Variant_Price,Variant_Inventory_Quantity,Variant_Created_At,Product_Created_At,Body_Html,Variant_Title,Option_Names,Option_Values,Image_Ids,Image_Sources
8387566305458,Full Sleeve Regular Fit Tshirt,,2024-12-30T13:02:59Z,45019576762546,33.0,33,2024-12-30T13:03:00Z,2024-12-30T13:02:59Z,"<ul class=""a-unordered-list a-vertical a-spacing-small"">
<li><span class=""a-list-item a-size-base a-color-base"">Fabric: Cotton Blend</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Sleeve Type: Full Sleeve</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Neck Style: Round Neck</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Pattern : Striped</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Color : Maroon</span></li>
</ul>",Wool,Fabric,Wool,40444694429874,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/611nPGxRtZL._SX569.jpg?v=1735563746
8387566305458,Full Sleeve Regular Fit Tshirt,,2024-12-30T13:02:59Z,45019576795314,33.0,44,2024-12-30T13:03:00Z,2024-12-30T13:02:59Z,"<ul class=""a-unordered-list a-vertical a-spacing-small"">
<li><span class=""a-list-item a-size-base a-color-base"">Fabric: Cotton Blend</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Sleeve Type: Full Sleeve</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Neck Style: Round Neck</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Pattern : Striped</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Color : Maroon</span></li>
</ul>",Fleece,Fabric,Wool,40444694429874,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/611nPGxRtZL._SX569.jpg?v=1735563746
8387566305458,Full Sleeve Regular Fit Tshirt,,2024-12-30T13:02:59Z,45019576828082,33.0,44,2024-12-30T13:03:00Z,2024-12-30T13:02:59Z,"<ul class=""a-unordered-list a-vertical a-spacing-small"">
<li><span class=""a-list-item a-size-base a-color-base"">Fabric: Cotton Blend</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Sleeve Type: Full Sleeve</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Neck Style: Round Neck</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Pattern : Striped</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Color : Maroon</span></li>
</ul>",Acrylic,Fabric,Wool,40444694429874,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/611nPGxRtZL._SX569.jpg?v=1735563746
8387566010546,Crew Pullover,,2024-12-30T13:01:36Z,45019576336562,33.0,33,2024-12-30T13:01:37Z,2024-12-30T13:01:36Z,"<ul class=""a-unordered-list a-vertical a-spacing-small"">
<li><span class=""a-list-item a-size-base a-color-base"">Available in a variety of classic and contemporary designs, including crew necks and V-necks, Dennis Lingo Sweaters come in rich colors and patterns to suit any occasion. Whether you're heading to the office or enjoying a casual weekend, these sweaters provide a sophisticated touch to your outfit.</span></li>
</ul>",Crew,Neckline,Crew,40444693184690,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/71nBWKXWYiL._SY741.jpg?v=1735563657
8387566010546,Crew Pullover,,2024-12-30T13:01:36Z,45019576369330,33.0,3,2024-12-30T13:01:37Z,2024-12-30T13:01:36Z,"<ul class=""a-unordered-list a-vertical a-spacing-small"">
<li><span class=""a-list-item a-size-base a-color-base"">Available in a variety of classic and contemporary designs, including crew necks and V-necks, Dennis Lingo Sweaters come in rich colors and patterns to suit any occasion. Whether you're heading to the office or enjoying a casual weekend, these sweaters provide a sophisticated touch to your outfit.</span></li>
</ul>",V-neck,Neckline,Crew,40444693184690,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/71nBWKXWYiL._SY741.jpg?v=1735563657
8387566010546,Crew Pullover,,2024-12-30T13:01:36Z,45019576402098,33.0,3,2024-12-30T13:01:37Z,2024-12-30T13:01:36Z,"<ul class=""a-unordered-list a-vertical a-spacing-small"">
<li><span class=""a-list-item a-size-base a-color-base"">Available in a variety of classic and contemporary designs, including crew necks and V-necks, Dennis Lingo Sweaters come in rich colors and patterns to suit any occasion. Whether you're heading to the office or enjoying a casual weekend, these sweaters provide a sophisticated touch to your outfit.</span></li>
</ul>",Round,Neckline,Crew,40444693184690,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/71nBWKXWYiL._SY741.jpg?v=1735563657
8387565748402,Hoodie for Men,,2024-12-30T12:59:30Z,45019575812274,45.0,55,2024-12-30T12:59:31Z,2024-12-30T12:59:30Z,"<ul class=""a-unordered-list a-vertical a-spacing-small"">
<li><span class=""a-list-item a-size-base a-color-base"">These Hoodies have Durable prints that maintain their vibrant colors wash after wash.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Made from soft, breathable fabric for all-day comfort.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Available in a wide range of colors and sizes to fit every style and body type.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Designed for a comfortable and stylish fit for everyone.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Suitable for both warm and cold weather, offering year-round versatility.</span></li>
</ul>",Navy,Color,Navy,40444692627634,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/41xTsjB7xqL.jpg?v=1735563525
8387565748402,Hoodie for Men,,2024-12-30T12:59:30Z,45019575845042,45.0,5,2024-12-30T12:59:31Z,2024-12-30T12:59:30Z,"<ul class=""a-unordered-list a-vertical a-spacing-small"">
<li><span class=""a-list-item a-size-base a-color-base"">These Hoodies have Durable prints that maintain their vibrant colors wash after wash.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Made from soft, breathable fabric for all-day comfort.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Available in a wide range of colors and sizes to fit every style and body type.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Designed for a comfortable and stylish fit for everyone.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Suitable for both warm and cold weather, offering year-round versatility.</span></li>
</ul>",Purple,Color,Navy,40444692627634,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/41xTsjB7xqL.jpg?v=1735563525
8387565748402,Hoodie for Men,,2024-12-30T12:59:30Z,45019575877810,45.0,5,2024-12-30T12:59:31Z,2024-12-30T12:59:30Z,"<ul class=""a-unordered-list a-vertical a-spacing-small"">
<li><span class=""a-list-item a-size-base a-color-base"">These Hoodies have Durable prints that maintain their vibrant colors wash after wash.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Made from soft, breathable fabric for all-day comfort.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Available in a wide range of colors and sizes to fit every style and body type.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Designed for a comfortable and stylish fit for everyone.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Suitable for both warm and cold weather, offering year-round versatility.</span></li>
</ul>",Orange,Color,Navy,40444692627634,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/41xTsjB7xqL.jpg?v=1735563525
8387565748402,Hoodie for Men,,2024-12-30T12:59:30Z,45019575910578,45.0,5,2024-12-30T12:59:31Z,2024-12-30T12:59:30Z,"<ul class=""a-unordered-list a-vertical a-spacing-small"">
<li><span class=""a-list-item a-size-base a-color-base"">These Hoodies have Durable prints that maintain their vibrant colors wash after wash.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Made from soft, breathable fabric for all-day comfort.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Available in a wide range of colors and sizes to fit every style and body type.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Designed for a comfortable and stylish fit for everyone.</span></li>
<li><span class=""a-list-item a-size-base a-color-base"">Suitable for both warm and cold weather, offering year-round versatility.</span></li>
</ul>",Yellow,Color,Navy,40444692627634,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/41xTsjB7xqL.jpg?v=1735563525
